ID,Lat,Lon,Col,Row,Date,O3_ppb,PM25_Primary_ugm3,PM25_Secondary_ugm3
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 00:00:00,4.67542219161987,10.2763252258301,10.2763252258301
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 01:00:00,10.6597690582275,8.6428804397583,8.6428804397583
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 02:00:00,11.7991485595703,8.97025680541992,8.97025680541992
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 03:00:00,15.6943092346191,8.31261157989502,8.31261157989502
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 04:00:00,19.0100803375244,8.05505657196045,8.05505657196045
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 05:00:00,20.6771049499512,8.10420036315918,8.10420036315918
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 06:00:00,21.7526607513428,7.82862091064453,7.82862091064453
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 07:00:00,21.5061283111572,7.0539174079895,7.0539174079895
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 08:00:00,19.6615600585938,7.04518747329712,7.04518747329712
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 09:00:00,19.093318939209,6.71413898468018,6.71413898468018
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 10:00:00,19.0854434967041,5.89978551864624,5.89978551864624
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 11:00:00,18.5933513641357,4.39857959747314,4.39857959747314
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 12:00:00,16.9805812835693,3.17941880226135,3.17941880226135
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 13:00:00,16.3712253570557,3.0717601776123,3.0717601776123
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 14:00:00,16.6151332855225,3.50791215896606,3.50791215896606
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 15:00:00,18.4928359985352,3.99148535728455,3.99148535728455
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 16:00:00,21.1372451782227,4.69834089279175,4.69834089279175
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 17:00:00,23.3557376861572,5.23023176193237,5.23023176193237
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 18:00:00,25.7493286132812,5.50348377227783,5.50348377227783
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 19:00:00,27.1879234313965,5.78444528579712,5.78444528579712
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 20:00:00,25.3619747161865,6.42458438873291,6.42458438873291
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 21:00:00,19.5618705749512,8.48242855072021,8.48242855072021
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 22:00:00,14.1080312728882,12.1778507232666,12.1778507232666
Raleigh,35.7795897,-78.6381787,122,50,2010-01-01 23:00:00,13.3908338546753,14.950569152832,14.950569152832
Raleigh,35.7795897,-78.6381787,122,50,2010-01-02 00:00:00,16.7471618652344,15.9941034317017,15.9941034317017
Raleigh,35.7795897,-78.6381787,122,50,2010-01-02 01:00:00,21.3717308044434,15.9203796386719,15.9203796386719
Raleigh,35.7795897,-78.6381787,122,50,2010-01-02 02:00:00,22.2945423126221,15.3408002853394,15.3408002853394
Raleigh,35.7795897,-78.6381787,122,50,2010-01-02 03:00:00,22.4422492980957,14.1974678039551,14.1974678039551
Raleigh,35.7795897,-78.6381787,122,50,2010-01-02 04:00:00,22.7482204437256,13.7823848724365,13.7823848724365
Raleigh,35.7795897,-78.6381787,122,50,2010-01-02 05:00:00,22.9075565338135,14.0914602279663,14.0914602279663
Raleigh,35.7795897,-78.6381787,122,50,2010-01-02 06:00:00,23.3120212554932,14.1049976348877,14.1049976348877
Raleigh,35.7795897,-78.6381787,122,50,2010-01-02 07:00:00,23.7260303497314,13.5128812789917,13.5128812789917
Raleigh,35.7795897,-78.6381787,122,50,2010-01-02 08:00:00,24.2270812988281,12.5789337158203,12.5789337158203
Raleigh,35.7795897,-78.6381787,122,50,2010-01-02 09:00:00,25.217113494873,11.0667343139648,11.0667343139648
Raleigh,35.7795897,-78.6381787,122,50,2010-01-02 10:00:00,26.209939956665,9.53478813171387,9.53478813171387
Raleigh,35.7795897,-78.6381787,122,50,2010-01-02 11:00:00,27.0844612121582,8.37493228912354,8.37493228912354
Raleigh,35.7795897,-78.6381787,122,50,2010-01-02 12:00:00,27.8752956390381,7.6006064414978,7.6006064414978
Raleigh,35.7795897,-78.6381787,122,50,2010-01-02 13:00:00,29.8790130615234,6.64218521118164,6.64218521118164
Raleigh,35.7795897,-78.6381787,122,50,2010-01-02 14:00:00,32.047248840332,5.13632869720459,5.13632869720459
Raleigh,35.7795897,-78.6381787,122,50,2010-01-02 15:00:00,33.5102653503418,4.17117261886597,4.17117261886597
Raleigh,35.7795897,-78.6381787,122,50,2010-01-02 16:00:00,35.265510559082,3.559401512146,3.559401512146
Raleigh,35.7795897,-78.6381787,122,50,2010-01-02 17:00:00,37.0163116455078,3.1047260761261,3.1047260761261
Raleigh,35.7795897,-78.6381787,122,50,2010-01-02 18:00:00,37.5288238525391,3.010249376297,3.010249376297
